DATE_TIME,OBSERVATORY_NAME,SENSOR_TYPE,MINIMUM_TEMPERATURE,MAXIMUM_TEMPERATURE,AVERAGE_TEMPERATURE,MINIMUM_HUMIDITY,MAXIMUM_HUMIDITY,AVERAGE_HUMIDITY,MINIMUM_WIND,MAXIMUM_WIND,AVERAGE_WIND,MINIMUM_DIRECTIONOFWIND,MAXIMUM_DIRECTIONOFWIND,AVERAGE_DIRECTIONOFWIND,MINIMUM_PRECIPITATION,MAXIMUM_PRECIPITATION,AVERAGE_PRECIPITATION,MINIMUM_ROAD_TEMPERATURE,MAXIMUM_ROAD_TEMPERATURE,AVERAGE_ROAD_TEMPERATURE,MINIMUM_FELT_TEMPERATURE,MAXIMUM_FELT_TEMPERATURE,AVERAGE_FELT_TEMPERATURE
2021-04-04 20:00:00,GUNGOREN_DAVUTPASA_MARMARA,AUTOMATED_WEATHER_SENSOR,8,8.1,8.05833,94,96,94.91667,2,6.3,3.77333,13,66,37.7,0,0,0,-99,-99,-99,5.46,7.61,6.46483
2021-04-03 10:00:00,ZINCIRLIKUYU,ICING_SENSOR,16.64,18.07,17.34407,45.05,47.5,46.02085,1.57,5.65,3.2039,141,302,194.11864,0,0,0,33.1,36.4,35.22712,16.52,19.1,17.86102
2021-04-02 12:00:00,SABIHAGOKCEN,ICING_SENSOR,13.4,14.14,13.71421,49.31,52.29,50.8793,0.866,5.052,2.69153,133,281,236.03509,0,0,0,-99,-99,-99,12.85,14.77,13.65351
2021-04-04 02:00:00,SANCAKTEPE_MGM,AUTOMATED_WEATHER_SENSOR,13.1,14.5,13.94667,98,98,98,0.8,5.2,2.73667,56,209,161.51667,0,0,0,-99,-99,-99,13.11,15.3,13.978
2021-04-02 17:00:00,SANCAKTEPE_MGM,AUTOMATED_WEATHER_SENSOR,11.2,12.2,11.62623,98,98,98,1.6,3.5,2.6082,219,251,232.42623,0,0,0,-99,-99,-99,10.67,11.83,11.29262
2021-04-02 13:00:00,PASAKOY,ICING_SENSOR,14.77,15.56,15.17759,46.28,50.44,48.20407,0.672,3.296,1.75733,7,355,202.44444,0,0,0,21.8,25,23.67778,15.01,17.01,15.86611
2021-04-03 23:00:00,PASAKOY,ICING_SENSOR,14.7,15.06,14.86302,65.25,69.35,66.89962,0.533,4.202,1.70987,3,335,165.43396,0.02,0.02,0.02,13.1,13.4,13.21321,14.32,16.84,15.62019
2021-04-02 15:00:00,SANCAKTEPE_MGM,AUTOMATED_WEATHER_SENSOR,13.1,14.3,13.78167,98,98,98,2.2,5.7,3.745,204,240,222.63333,0,0,0,-99,-99,-99,12.31,14.23,13.333
2021-04-01 07:00:00,SANCAKTEPE_MGM,AUTOMATED_WEATHER_SENSOR,6.7,8.1,7.30658,98,98,98,1.9,5.5,3.17763,9,359,35.19737,0,0,0,-99,-99,-99,4.2,7.53,5.90237
2021-04-03 22:00:00,PASAKOY,ICING_SENSOR,14.79,15.56,15.1678,65.04,69.25,67.42898,0.386,4.202,1.87381,22,321,182.40678,0.02,0.02,0.02,13.4,14.1,13.75932,14.4,17.26,15.86559
2021-04-01 14:00:00,SILE_ISAKOY,AUTOMATED_WEATHER_SENSOR,7.9,8.2,8.00833,85,89,86.78333,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2021-04-04 00:00:00,BUYUKADA,AUTOMATED_WEATHER_SENSOR,11.16,12.01,11.6681,74.89,80.3,77.70276,4.985,7.828,6.50709,190,260,218.87931,0,0,0,-99,-99,-99,9.27,10.41,9.8781
2021-04-03 08:00:00,SILE_ISAKOY,AUTOMATED_WEATHER_SENSOR,17.1,18.4,17.83333,45,50,47.03333,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2021-04-02 23:00:00,BAYRAMOGLU_TUZLA,ICING_SENSOR,12.03,12.97,12.658,0.879,0.947,0.88362,2.05,6.37,4.08927,206,307,268.36364,0,0,0,6.7,6.7,6.7,10.68,12.72,11.84327
2021-04-02 19:00:00,BUYUKADA,AUTOMATED_WEATHER_SENSOR,9.76,10.3,9.95133,67.73,71.1,69.53217,4.99,7.617,6.1812,207,234,222.4,0,0,0,-99,-99,-99,7.34,8.29,7.82017
2021-04-04 08:00:00,BAYRAMOGLU_TUZLA,ICING_SENSOR,14.8,15.48,15.09932,0.88,0.947,0.88454,1.25,5.01,3.17136,102,270,154.15254,0,0,0,6.7,6.7,6.7,14.46,17.22,15.50051
2021-04-03 00:00:00,SILE_ISAKOY,AUTOMATED_WEATHER_SENSOR,13.5,14.1,13.74915,58,60,59.37288,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2021-04-04 12:00:00,SILE_ISAKOY,AUTOMATED_WEATHER_SENSOR,9.8,10.4,10.09667,98,100,99.75,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2021-04-03 09:00:00,SILE_ISAKOY,AUTOMATED_WEATHER_SENSOR,17,17.9,17.545,46,58,48.83333,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2021-04-04 05:00:00,BUYUKADA,AUTOMATED_WEATHER_SENSOR,11.87,13.12,12.62871,65.24,79.82,69.63968,4.073,8.72,6.72406,160,208,193.35484,0,0,0,-99,-99,-99,10.44,11.92,11.04855
2021-04-04 13:00:00,USKUDAR_MGM,AUTOMATED_WEATHER_SENSOR,8.8,9.2,8.97966,78,80,78.77966,3.4,6.5,4.79831,46,85,60.77966,0,0,0,-99,-99,-99,6.36,7.93,7.10678
2021-04-02 05:00:00,BESIKTAS_YILDIZ,ICING_SENSOR,6.634,7.379,6.95105,80,88.6,83.95167,0,3.17,1.32667,171,263,224.23333,0,0,0,8,11,9.19,5.27,8.13,6.5195
2021-04-04 03:00:00,BUYUKADA,AUTOMATED_WEATHER_SENSOR,12.38,13.02,12.72169,60.95,68.31,65.14644,3.033,7.13,4.72558,187,248,205.35593,0,0,0,-99,-99,-99,10.63,12.65,11.72678
2021-04-04 02:00:00,BUYUKADA,AUTOMATED_WEATHER_SENSOR,12.01,12.98,12.40328,62.7,70.3,67.37754,3.42,8.37,5.8889,175,209,194.60656,0,0,0,-99,-99,-99,9.86,12.24,10.97066
2021-04-03 04:00:00,USKUDAR_MGM,AUTOMATED_WEATHER_SENSOR,10.7,11.8,11.23333,63,68,65.43333,1.4,3.4,2.76833,243,281,257.96667,0,0,0,-99,-99,-99,10.14,12.34,10.72967
2021-04-03 20:00:00,BUYUKADA,AUTOMATED_WEATHER_SENSOR,13.42,14.19,13.75295,71.11,75.79,73.50525,6.727,10.61,9.0059,191,213,203.19672,0,0,0,-99,-99,-99,11.37,12.67,11.98557
2021-04-03 06:00:00,USKUDAR_MGM,AUTOMATED_WEATHER_SENSOR,12.5,14.1,13.24833,53,60,57.03333,1.1,3.7,2.145,254,339,292.1,0,0,0,-99,-99,-99,12.36,14.41,13.46333
2021-04-02 12:00:00,BUYUKADA,AUTOMATED_WEATHER_SENSOR,14.58,17.11,15.32328,50.21,55.9,53.4219,4.127,8.73,5.60372,211,258,234.46552,0,0,0,-99,-99,-99,13.69,16.93,14.66017
2021-04-02 20:00:00,BAYRAMOGLU_TUZLA,ICING_SENSOR,11.35,11.89,11.54466,0.88,0.947,0.88462,0.53,2.45,1.52448,8,316,199.32759,0,0,0,6.7,6.7,6.7,11.17,12.44,11.95293
2021-04-02 01:00:00,BESIKTAS_YILDIZ,ICING_SENSOR,5.009,5.415,5.22818,87.1,89.2,88.03,0,0,0,186,250,204.33333,0,0.36,0.12733,7,7.8,7.39833,5.01,5.41,5.22117
2021-04-02 10:00:00,BESIKTAS_YILDIZ,ICING_SENSOR,10.23,11.04,10.53737,59.06,66.17,62.70491,0,5.73,2.5414,168,274,220.78947,0,0,0,29.3,31.7,30.55614,8.27,11.4,9.8207
2021-04-03 00:00:00,USKUDAR_MGM,AUTOMATED_WEATHER_SENSOR,10.7,11,10.82576,66,68,67,2.2,4.8,3.30758,237,293,256.39394,0,0,0,-99,-99,-99,9.5,10.45,9.98197
2021-04-03 21:00:00,BESIKTAS_YILDIZ,ICING_SENSOR,11.99,14.42,12.83339,67.17,80.1,76.01254,0,2.77,0.43983,157,255,208.27119,0,0,0,14.7,15.5,15.07797,12.05,14.83,12.78915
2021-04-01 06:00:00,BUYUKADA,AUTOMATED_WEATHER_SENSOR,5.04,6.486,5.5669,77.47,83.3,81.63672,7.905,9.48,8.7709,23,41,32.34426,0,0,0,-99,-99,-99,0.83,2.63,1.5082
2021-04-03 21:00:00,BUYUKADA,AUTOMATED_WEATHER_SENSOR,12.48,13.69,13.14467,71.99,78,74.703,6.395,10.15,8.3974,192,215,204.33333,0,0,0,-99,-99,-99,10.13,12.18,11.31717
